BWV,Date,Title,Instruments,JEG CD,Wikipedia,IMSLP,Bach Digital
1,1725-03-25,Cantata Wie schön leuchtet der Morgenstern (Annunciation),stbSATB 2Hn 2Odc 2Vl Str Bc,12.0,https://en.wikipedia.org/wiki/BWV_1,"https://imslp.org/wiki/Wie_sch%C3%B6n_leuchtet_der_Morgenstern,_BWV_1_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000001?lang=en
2,1724-06-18,"Cantata Ach Gott, vom Himmel sieh darein (Trinity II)",atbSATB 4Tbn 2Ob Str Bc,28.0,https://en.wikipedia.org/wiki/BWV_2,"https://imslp.org/wiki/Ach_Gott,_vom_Himmel_sieh_darein,_BWV_2_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000002?lang=en
3,1725-01-14,"Cantata Ach Gott, wie manches Herzeleid (Epiphany II)",satbSATB Hn Tbn 2Oba Str Bc,5.0,https://en.wikipedia.org/wiki/BWV_3,"https://imslp.org/wiki/Ach_Gott,_wie_manches_Herzeleid,_BWV_3_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000003?lang=en
4.2,1724-04-09,Cantata Christ lag in Todes Banden (Easter),satbSATB Cnt 3Tbn Str Bc,13.0,https://en.wikipedia.org/wiki/BWV_4,"https://imslp.org/wiki/Christ_lag_in_Todesbanden,_BWV_4_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000004?lang=en
4.1,1707-04-24,"Cantata Christ lag in Todes Banden (Easter; early version, lost)",satbSATB 2Vl 2Va Bc,13.0,https://en.wikipedia.org/wiki/BWV_4,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000005?lang=en
5,1724-10-15,Cantata Wo soll ich fliehen hin (Trinity XIX),satbSATB Tdt 2Ob Str Bc,46.0,https://en.wikipedia.org/wiki/BWV_5,"https://imslp.org/wiki/Wo_soll_ich_fliehen_hin,_BWV_5_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000006?lang=en
6,1725-04-02,"Cantata Bleib bei uns, denn es will Abend werden (Easter 2)",satbSATB 2Ob Odc Str Vc Bc,14.0,https://en.wikipedia.org/wiki/BWV_6,"https://imslp.org/wiki/Bleib_bei_uns,_denn_es_will_Abend_werden,_BWV_6_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000007?lang=en
7,1724-06-24,Cantata Christ unser Herr zum Jordan kam (24 June: feast of John the Baptist),atbSATB 2Oba 2Vl Str Bc,26.0,https://en.wikipedia.org/wiki/BWV_7,"https://imslp.org/wiki/Christ_unser_Herr_zum_Jordan_kam,_BWV_7_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000008?lang=en
8.1,1724-09-24,"Cantata Liebster Gott, wenn werd ich sterben? (Trinity XVI; 1st version)",satbSATB Hn Fl Fl 2Oba Str Bc,43.0,https://en.wikipedia.org/wiki/BWV_8,"https://imslp.org/wiki/Liebster_Gott,_wenn_werd_ich_sterben%3F,_BWV_8_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000009?lang=en
8.2,1747-09-17,"Cantata Liebster Gott, wenn werd ich sterben? (Trinity XVI; 2nd version)",satbSATB Fl 2Oba Tai 2Vl Str Bc,43.0,https://en.wikipedia.org/wiki/BWV_8,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000010?lang=en
9,1732-07-20,Cantata Es ist das Heil uns kommen her (Trinity VI),satbSATB Fl Oba Str Bc,32.0,https://en.wikipedia.org/wiki/BWV_9,"https://imslp.org/wiki/Es_ist_das_Heil_uns_kommen_her,_BWV_9_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000011?lang=en
10,1724-07-02,Cantata Meine Seel erhebt den Herren a.k.a. German Magnificat (Visitation),satbSATB Tr 2Ob Str Bc,28.0,https://en.wikipedia.org/wiki/BWV_10,"https://imslp.org/wiki/Meine_Seel_erhebt_den_Herren,_BWV_10_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000012?lang=en
12,1714-04-22,"Cantata Weinen, Klagen, Sorgen, Zagen (Jubilate; two versions)",atbSATB Tr Ob 2Vl 2Va Bas Bc,17.0,https://en.wikipedia.org/wiki/BWV_12,"https://imslp.org/wiki/Weinen,_Klagen,_Sorgen,_Zagen,_BWV_12_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000014?lang=en
