exact,1691,Jun 11,"Death of elder brother, Johann Balthazar, born 1673"
approx,1692,Apr 15,Enters the Latin school in Eisenach
approx,1693,Jul 1,"Enrolls in the quinta of the Latin school in the former Dominican monastery, aged eight. (This implies he was already able to read and write and had probably attended one of the town's German primary schools from the age of five.) He is marked absent 96 times"
approx,1694,Jul 1,"Continues in the quinta, marked absent 59 times"
approx,1695,Jul 1,"Graduates from the quarta, having been marked absent 103 times"
approx,1695,Apr 15,"Johann Sebastian, orphaned at age 10, and his brother Johann Jacob (13) join the household of their oldest brother, Johann Christoph Bach, in Ohrdruf"
approx,1695,Jul 1,Enters the tertia class at the Lyceum Illustre Gleichense in Ohrdruf
approx,1700,Feb 18,"Calendar reform: In the year 1700, Feb 18 (Thursday after Sexagesimae Sunday) was followed immediately by Mar 1 (Monday before Reminiscere Sunday); Estomihi and Invocavit Sundays were skipped. In this Chronology, all dates through Feb 1700 are ""old style"" (Julian calendar); 'new style' dates begin in Mar 1700, when Protestant Germany introduced the Gregorian calendar."
approx,1700,Jun 1,"Becomes a student of Georg Böhm, at whose house he copies Reincken's chorale prelude An Wasserflüssen Babylon in tablature"
approx,1702,Apr 15,Graduation from St. Michael's School and return to Thuringia (probably Ohrdruf)
approx,1703,Jan 1,Started as lackey and musician at the court of Duke Johann Ernst of Saxe-Weimar (through June)
approx,1705,Aug 15,Dispute with Johann Heinrich Geyersbach
approx,1705,Nov 15,"Visit with Dieterich Buxtehude in Lübeck, ostensibly for four-week leave of absence, stays for 3-4 months"
approx,1707,Jun 14,Negotiations with the Mühlhausen Town Council from 14-22; accepts appointment
approx,1708,Feb 15,Submits plans for organ renovation at St. Blasius's
approx,1708,Jun 15,Performs on renovated organ at the ducal palace church in Weimar. Appointed organist and chamber musician at the court of the co-reigning Dukes Wilhelm Ernst and Ernst August of Sexe-Weimar (Jun 20: ducal salary decree); requests and receives dismissal from Mühlhausen
approx,1709,Mar 15,Visit of the violinist Johann Georg Pisendel in Weimar
approx,1713,Feb 21,"In Weissenfels: performance of the Hunt Cantata, BWV 208, in conjunction with the birthday of Duke Christian of Saxe-Weissenfels"
approx,1713,Nov 28,In Halle: invited to audition for organist post at Our Lady's (Market) Church (successor to F. W. Zachow); Bach elected on Dec 13
approx,1715,Aug 1,Official mourning period after the death of Prince Wilhelm Ernst through Nov 3
approx,1716,Apr 29,"Organ examination and dedication in Halle, Market Church"
approx,1717,Oct 15,In Dresden: keyboard contest with Louis Marchand at the royal-electoral court
approx,1717,Nov 6,Detention in conjunction with his dismissal from Weimar court service. Held until Dec 2.
approx,1717,Dec 16,"Organ examination in Leipzig, St. Paul's (University) Church"
approx,1718,May 9,With Prince Leopold in Carlsbad through Jul 7
approx,1719,Jun 15,Failed attempt at meeting George Frideric Handel in Halle
approx,1720,Jun 15,With Prince Leopold in Carlsbad
approx,1720,Nov 15,"In Hamburg: recital at St. Catharine's Church in the presence of Reinken; performance of cantata(s), incl. BWV 21; candidate for organist post at St. Jacobi Church; lasts through Nov 23"
approx,1723,Apr 15,Daughter Christiana Sophia Henrietta born
approx,1725,Sep 19,Organ recitals at St. Sophia's Church in Dresden through Sep 20
approx,1725,Nov 30,"Guest performances in Cöthen, with Anna Magdalena (birthdays of Princess Charlotte Friederike Wilhelmine and Prince Leopold) through Dec 15"
approx,1726,Oct 15,"Michaelmas Fair: single edition of BWV 825 published (BWV 826-830 published separately, 1727-30)"
approx,1727,Apr 1,Renovations of Bach's apartment in the St. Thomas School completed
approx,1727,Sep 7,Official state mourning period after death of Electoress and Queen Christiane Eberhardine through 1728 Jan 6
approx,1729,Mar 23,Funeral services for Prince Leopold in Cöthen (BWV 244a) through Mar 24
approx,1730,Jun 25,"Jubilee of Augsburg Confession: BWV 190a, 120b, and Anh. 4a, through Jun 27"
approx,1731,Apr 15,Publication of Opus 1: part I of the Clavier-Übung
approx,1731,May 15,Major renovations of the St. Thomas School building; Bach family moves into temporary quarters
approx,1733,Feb 15,Official state mourning period after death on Feb 1 of Elector and King Friedrich August I through Jul 2
approx,1734,Jan 17,Celebration in Leipzig of the coronation of Friedrich August II as king of Poland (BWV 214a) through Jan 19
approx,1735,Apr 15,Publication of part II of the Clarvier-Übung
approx,1735,Jun 15,"Trip to Mühlhausen for more than a week: audition of son Johann Gottfried Bernhard for organist post at St. Mary's (Jun 9), organ examination at St. Mary's (Jun 16)"
approx,1737,May 15,Trip to Sangerhausen
approx,1738,Apr 15,"C.P.E. Bach appointed harpsichordist of the crown prince, later King Friedrich II of Prussia"
approx,1739,Oct 15,Michaelmas Fair: publication of part III of the Clavier-Übung
approx,1739,Nov 7,Trip to Weissenfels with Anna Magdalena through Nov 14
approx,1741,Oct 15,Michaelmas Fair(?): publication of part IV of the Clavier-Übung
approx,1742,May 13,Official state mourning period after the death of Empress Maria Amalia through May 20
approx,1743,Nov 30,Occupation of Leipzig by Prussian troops through Dec 25
approx,1746,Sep 24,"Organ examination in Naumburg, St. Wenceslas's Church through Sep 28"
approx,1747,Jun 15,"Accepts membership in the Society of Musical Science (L.C. Mizler, secretary, present in Leipzig); contributes publication of Canonic Variations, BWV 769"
approx,1747,Sep 15,"Michaelmas Fair: publication of Musical Offering, BWV 1079"
approx,1747,Nov 15,Examination of renovated organ at St. Thomas's
approx,1749,Apr 15,Conference with organ builder Heinrich Andreas Cuntzius
approx,1749,May 15,Hit by sudden critical illness
approx,1750,Jan 15,Appointment of son Johann Christoph Friedrich as court musician of Count Wilhelm of Schaumburg-Lippe in Bückeburg
approx,1750,Mar 28,First operation by the London eye surgeon Dr. John Taylor through Mar 31
approx,1750,Apr 5,Second operation by Dr. Taylor through Apr 8
exact,1730,Jan 1,"Daughter Christiana Benedicta baptized; dies Jan 4, buried Jan 5"
exact,1728,Jan 5,Guest performance in Cöthen (for New Year's Day festivities)
exact,1729,Jan 12,Visit in Leipzig of Duke Christian of Weissenfels; performance of BWV 210a
exact,1714,Jan 14,Receives appointment for post in Halle
exact,1720,Jan 22,Title page of Clavier-Büchlein for Wilhelm Friedemann
exact,1708,Feb 4,"Mühlhausen Town Council election; performance of BWV 71, Gott ist mein König, which is printed and published some weeks later"
